All.obs;uniqueID;Record;Country;Type;RBD;ICcode;physChemText;Note1_PhysChemText;SumMetric;ValueStd;ValueUpStd;CorSumMetric;Note2_Season;CorValueStd;CorValueUpStd;UnitUsed;Note3_stdUnits;RangeRep;ReasonRange;SalinityRange;DepthZone;Comment;Delete;physChemCategoryCW;physChemCategoryTW;Ver;cfMS
8030;9926;60;BG;BG2000;CW6N;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8004;9900;61;BG;BG2000;CW7;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8013;9909;62;BG;BG2000;CW7;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8022;9918;63;BG;BG2000;CW7;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8031;9927;64;BG;BG2000;CW7;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7998;9894;65;BG;BG2000;CW8;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8007;9903;66;BG;BG2000;CW8;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8016;9912;67;BG;BG2000;CW8;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8025;9921;68;BG;BG2000;CW8;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8002;9898;69;BG;BG2000;CW9;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8011;9907;70;BG;BG2000;CW9;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8020;9916;71;BG;BG2000;CW9;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8029;9925;72;BG;BG2000;CW9;CW-BL1;Nitrate as N;;autumn;0,08;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8105;10001;73;BG;BG2000;CW1N;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8114;10010;74;BG;BG2000;CW1N;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8123;10019;75;BG;BG2000;CW1N;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8132;10028;76;BG;BG2000;CW1N;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8107;10003;77;BG;BG2000;CW2N;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8116;10012;78;BG;BG2000;CW2N;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8125;10021;79;BG;BG2000;CW2N;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8134;10030;80;BG;BG2000;CW2N;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8104;10000;81;BG;BG2000;CW3;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8113;10009;82;BG;BG2000;CW3;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8122;10018;83;BG;BG2000;CW3;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8131;10027;84;BG;BG2000;CW3;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8109;10005;85;BG;BG2000;CW4N;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8118;10014;86;BG;BG2000;CW4N;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8127;10023;87;BG;BG2000;CW4N;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8136;10032;88;BG;BG2000;CW4N;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8108;10004;89;BG;BG2000;CW5;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8117;10013;90;BG;BG2000;CW5;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8126;10022;91;BG;BG2000;CW5;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8135;10031;92;BG;BG2000;CW5;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8111;10007;93;BG;BG2000;CW6N;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8120;10016;94;BG;BG2000;CW6N;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8129;10025;95;BG;BG2000;CW6N;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8138;10034;96;BG;BG2000;CW6N;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8112;10008;97;BG;BG2000;CW7;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8121;10017;98;BG;BG2000;CW7;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8130;10026;99;BG;BG2000;CW7;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8139;10035;100;BG;BG2000;CW7;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8106;10002;101;BG;BG2000;CW8;CW-BL1;Orthophosphate;;winter;61,2;;winter;;20;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8115;10011;102;BG;BG2000;CW8;CW-BL1;Orthophosphate;;spring;45,9;;spring;;15;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8124;10020;103;BG;BG2000;CW8;CW-BL1;Orthophosphate;;summer;30,6;;summer;;10;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8133;10029;104;BG;BG2000;CW8;CW-BL1;Orthophosphate;;autumn;39,78;;autumn;;13;;ugP/L;We standardised your Value using a factor of 326.2 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
