All.obs;GIG;Cat;ICcode.TRAC;Country;NatType;physChemText;SumMetric;ValueStd;ValueUpStd;UnitUsed;RangeRep;ReasonRange;DepthZone;Ver.r;MetricType
11411;BAL;CW;CW-BC5;PL;PL2000;Orthophosphate;winter;24;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11400;BAL;CW;CW-BC5;PL;PL2000;Dissolved oxygen;AA-EQS;4.2;NA;mg/L;FALSE;NA;Bottom;Rver2;annual
11402;BAL;CW;CW-BC5;PL;PL2000;% oxygen saturation;AA-EQS;80;120;PC02;TRUE;High low;Surf;Rver2;annual
11403;BAL;CW;CW-BC5;PL;PL2000;% oxygen saturation;AA-EQS;80;120;PC02;TRUE;High low;Surf;Rver2;annual
11412;BAL;CW;CW-BC5;PL;PL2000;Orthophosphate;winter;15;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11415;BAL;CW;CW-BC5;PL;PL2000;Secchi disk depth;summer;3.5;NA;m;FALSE;NA;NA;Rver2;seasonal
11406;BAL;CW;CW-BC5;PL;PL2000;Nitrate as N;winter;0.08;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
11419;BAL;CW;CW-BC5;PL;PL2000;Total Inorganic N;winter;0.15;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
11418;BAL;CW;CW-BC5;PL;PL2000;Total Inorganic N;winter;0.1;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
11391;BAL;CW;CW-BC5;LT;LT1100;Secchi disk depth;summer;5;5.9;m;TRUE;subType;NA;Rver2;seasonal
11399;BAL;CW;CW-BC5;PL;PL2000;Dissolved oxygen;AA-EQS;4.2;NA;mg/L;FALSE;NA;Bottom;Rver2;annual
11394;BAL;CW;CW-BC5;LT;LT1100;Secchi disk depth;summer;5;5.9;m;TRUE;subType;NA;Rver2;seasonal
11410;BAL;CW;CW-BC5;PL;PL2000;Orthophosphate;winter;15;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11393;BAL;CW;CW-BC5;LT;LT1100;TP;summer;15;26;µgP/L;TRUE;subType;Surf;Rver2;seasonal
11392;BAL;CW;CW-BC5;LT;LT1100;TN;summer;0.13;0.25;mgN/L;TRUE;subType;Surf;Rver2;seasonal
9009;BAL;CW;CW-BC5;LV;LVVUBA;Secchi disk depth;summer;4.5;NA;m;FALSE;NA;NA;Rver2;seasonal
9010;BAL;CW;CW-BC5;LV;LVVUBA;Secchi disk depth;summer;4.5;NA;m;FALSE;NA;NA;Rver2;seasonal
11389;BAL;CW;CW-BC5;LT;LT1100;TN;summer;0.13;0.25;mgN/L;TRUE;subType;Surf;Rver2;seasonal
11414;BAL;CW;CW-BC5;PL;PL2000;Secchi disk depth;summer;5.6;NA;m;FALSE;NA;NA;Rver2;seasonal
11390;BAL;CW;CW-BC5;LT;LT1100;TP;summer;15;26;µgP/L;TRUE;subType;Surf;Rver2;seasonal
11423;BAL;CW;CW-BC5;PL;PL2000;TP;summer;33;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11398;BAL;CW;CW-BC5;PL;PL2000;Dissolved oxygen;AA-EQS;4.2;NA;mg/L;FALSE;NA;Bottom;Rver2;annual
11416;BAL;CW;CW-BC5;PL;PL2000;Secchi disk depth;summer;5.6;NA;m;FALSE;NA;NA;Rver2;seasonal
11699;BAL;CW;CW-BC6;SE;8;Total Inorganic N;winter;0.04061943;0.58267872;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11749;BAL;CW;CW-BC6;SE;8;TP;summer;12.69924201;15.17714289;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11648;BAL;CW;CW-BC6;SE;7;TN;winter;0.28293534;1.04349915;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11700;BAL;CW;CW-BC6;SE;9;Total Inorganic N;winter;0.04061943;0.58267872;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11725;BAL;CW;CW-BC6;SE;9;TP;winter;22.30110792;35.00034993;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11724;BAL;CW;CW-BC6;SE;8;TP;winter;22.30110792;35.00034993;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11698;BAL;CW;CW-BC6;SE;7;Total Inorganic N;winter;0.04762278;0.980469;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11649;BAL;CW;CW-BC6;SE;8;TN;winter;0.28293534;0.90623349;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11775;BAL;CW;CW-BC6;SE;9;Orthophosphate;winter;8.673059164;11.46082818;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11750;BAL;CW;CW-BC6;SE;9;TP;summer;12.69924201;15.17714289;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11674;BAL;CW;CW-BC6;SE;8;TN;summer;0.27172998;0.61349346;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11748;BAL;CW;CW-BC6;SE;7;TP;summer;12.69924201;26.01795924;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
